23/07 09:02:18:726 Command Routing started
23/07 09:02:18:790 Starting process session
23/07 15:05:19:385 Command Routing started
23/07 15:05:19:498 Starting process session
23/07 15:11:49:921 Command Routing started
23/07 15:11:49:962 Starting process session
23/07 15:13:10:231 Command Routing started
23/07 15:13:10:293 Starting process session
23/07 15:13:40:565 Command Routing started
23/07 15:13:40:601 Starting process session
23/07 15:14:21:433 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:434 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:436 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:461 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:462 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:463 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:465 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:466 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:467 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:468 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:470 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:471 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:472 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:473 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:474 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:475 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:476 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:477 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:478 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:480 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:481 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:482 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:533 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:535 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:536 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:537 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:538 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:539 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:540 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:541 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:584 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:585 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:586 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:587 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:589 84967289993: VT8X26 - VT8X26.SENDSMS
23/07 15:14:21:590 84967289993: VT8X26 - VT8X26.SENDSMS
